"Institution id","Case url","Institution name","Institution tags","Jst category","Voivodship","County","Community","Jst full name","Q1","Q2","Q3","Q4","Q5","Q6","Q7","Q8","Q9","population_2025"
"2327","https://fedrowanie.siecobywatelska.pl/sprawy/wnioski-o-informacje-w-2025-2271","OSIECZNA","samorząd gminy","gmina miejsko-wiejska","Wielkopolskie","Leszczyński","Osieczna","Wielkopolskie / Leszczyński / Osieczna (3013033, gmina miejsko-wiejska)",77,77,0,"N/A",0,0,0,"b) NIE","b) NIE",9370
"419","https://fedrowanie.siecobywatelska.pl/sprawy/wnioski-o-informacje-w-2025-1698","OSIECZNA","samorząd gminy","gmina wiejska","Pomorskie","Starogardzki","Osieczna","Pomorskie / Starogardzki / Osieczna (2213072, gmina wiejska)",47,47,0,"N/A",0,0,0,"b) NIE","a) TAK",2630
"482","https://fedrowanie.siecobywatelska.pl/sprawy/wnioski-o-informacje-w-2025-99","OSIECZNICA","samorząd gminy","gmina wiejska","Dolnośląskie","Bolesławiecki","Osiecznica","Dolnośląskie / Bolesławiecki / Osiecznica (0201052, gmina wiejska)",85,85,0,"N/A",0,0,0,"b) NIE","b) NIE",7150
"178","https://fedrowanie.siecobywatelska.pl/sprawy/wnioski-o-informacje-w-2025-259","OSIEK","samorząd gminy","gmina wiejska","Kujawsko-Pomorskie","Brodnicki","Osiek","Kujawsko-Pomorskie / Brodnicki / Osiek (0402082, gmina wiejska)",63,51,0,"[b, c, f]",0,0,0,"b) NIE","b) NIE",3750
"2111","https://fedrowanie.siecobywatelska.pl/sprawy/wnioski-o-informacje-w-2025-1979","OSIEK","samorząd gminy","gmina miejsko-wiejska","Świętokrzyskie","Staszowski","Osiek","Świętokrzyskie / Staszowski / Osiek (2612043, gmina miejsko-wiejska)",31,31,0,"N/A",0,0,0,"b) NIE","b) NIE",7270
"2328","https://fedrowanie.siecobywatelska.pl/sprawy/wnioski-o-informacje-w-2025-1699","OSIEK","samorząd gminy","gmina wiejska","Pomorskie","Starogardzki","Osiek","Pomorskie / Starogardzki / Osiek (2213082, gmina wiejska)",75,75,1,"[i]",0,0,0,"b) NIE","b) NIE",2220
"324","https://fedrowanie.siecobywatelska.pl/sprawy/wnioski-o-informacje-w-2025-894","OSIEK","samorząd gminy","gmina wiejska","Małopolskie","Oświęcimski","Osiek","Małopolskie / Oświęcimski / Osiek (1213052, gmina wiejska)",93,93,0,"N/A",0,0,0,"b) NIE","b) NIE",8100
"1302","https://fedrowanie.siecobywatelska.pl/sprawy/wnioski-o-informacje-w-2025-1455","OSIEK JASIELSKI","samorząd gminy","gmina wiejska","Podkarpackie","Jasielski","Osiek Jasielski","Podkarpackie / Jasielski / Osiek Jasielski (1805082, gmina wiejska)",127,126,0,"[a]",0,0,0,"b) NIE","b) NIE",5130
"694","https://fedrowanie.siecobywatelska.pl/sprawy/wnioski-o-informacje-w-2025-2272","OSIEK MAŁY","samorząd gminy","gmina wiejska","Wielkopolskie","Kolski","Osiek Mały","Wielkopolskie / Kolski / Osiek Mały (3009102, gmina wiejska)",40,40,0,"N/A",0,0,0,"b) NIE","b) NIE",6300
"1303","https://fedrowanie.siecobywatelska.pl/sprawy/wnioski-o-informacje-w-2025-260","OSIELSKO","samorząd gminy","gmina wiejska","Kujawsko-Pomorskie","Bydgoski","Osielsko","Kujawsko-Pomorskie / Bydgoski / Osielsko (0403062, gmina wiejska)",148,133,1,"[a, b]",0,0,0,"b) NIE","b) NIE",19490
"1887","https://fedrowanie.siecobywatelska.pl/sprawy/wnioski-o-informacje-w-2025-261","OSIĘCINY","samorząd gminy","gmina wiejska","Kujawsko-Pomorskie","Radziejowski","Osięciny","Kujawsko-Pomorskie / Radziejowski / Osięciny (0411042, gmina wiejska)",78,78,0,"N/A",0,0,0,"b) NIE","b) NIE",6990
"1662","https://fedrowanie.siecobywatelska.pl/sprawy/wnioski-o-informacje-w-2025-2432","OSINA","samorząd gminy","gmina wiejska","Zachodniopomorskie","Goleniowski","Osina","Zachodniopomorskie / Goleniowski / Osina (3204052, gmina wiejska)",64,64,0,"N/A",0,0,0,"b) NIE","b) NIE",2870
"956","https://fedrowanie.siecobywatelska.pl/sprawy/wnioski-o-informacje-w-2025-708","OSJAKÓW","samorząd gminy","gmina miejsko-wiejska","Łódzkie","Wieluński","Osjaków","Łódzkie / Wieluński / Osjaków (1017053, gmina miejsko-wiejska)",72,72,0,"N/A",0,0,0,"a) TAK","b) NIE",4630
"1663","https://fedrowanie.siecobywatelska.pl/sprawy/wnioski-o-informacje-w-2025-1700","OSTASZEWO","samorząd gminy","gmina wiejska","Pomorskie","Nowodworski","Ostaszewo","Pomorskie / Nowodworski / Ostaszewo (2210032, gmina wiejska)",59,58,1,"[b]",0,0,0,"b) NIE","b) NIE",2880
"2060","https://fedrowanie.siecobywatelska.pl/sprawy/wnioski-o-informacje-w-2025-1135","Ostrołęka","miasto na prawach powiatu","miasto na prawach powiatu","Mazowieckie","Ostrołęka",,"Mazowieckie / Ostrołęka (1461, miasto na prawach powiatu)",125,125,0,"N/A",1,1,0,"b) NIE","b) NIE",47350
"695","https://fedrowanie.siecobywatelska.pl/sprawy/wnioski-o-informacje-w-2025-2273","OSTRORÓG","samorząd gminy","gmina miejsko-wiejska","Wielkopolskie","Szamotulski","Ostroróg","Wielkopolskie / Szamotulski / Ostroróg (3024053, gmina miejsko-wiejska)",74,66,8,"[f]",0,0,0,"b) NIE","b) NIE",4700
"2061","https://fedrowanie.siecobywatelska.pl/sprawy/wnioski-o-informacje-w-2025-1980","OSTROWIEC ŚWIĘTOKRZYSKI","samorząd gminy","gmina miejska","Świętokrzyskie","Ostrowiecki","Ostrowiec Świętokrzyski","Świętokrzyskie / Ostrowiecki / Ostrowiec Świętokrzyski (2607011, gmina miejska)",160,160,0,"[b]",0,0,0,"b) NIE","b) NIE",60250
"1304","https://fedrowanie.siecobywatelska.pl/sprawy/wnioski-o-informacje-w-2025-2274","OSTROWITE","samorząd gminy","gmina wiejska","Wielkopolskie","Słupecki","Ostrowite","Wielkopolskie / Słupecki / Ostrowite (3023042, gmina wiejska)",47,47,0,"N/A",0,1,0,"b) NIE","b) NIE",4670
"1172","https://fedrowanie.siecobywatelska.pl/sprawy/wnioski-o-informacje-w-2025-2106","OSTRÓDA","samorząd gminy","gmina wiejska","Warmińsko-Mazurskie","Ostródzki","Ostróda","Warmińsko-Mazurskie / Ostródzki / Ostróda (2815092, gmina wiejska)",214,204,2,"[C, D, F]",0,1,0,"b) NIE","b) NIE",15950
"2059","https://fedrowanie.siecobywatelska.pl/sprawy/wnioski-o-informacje-w-2025-2105","OSTRÓDA","samorząd gminy","gmina miejska","Warmińsko-Mazurskie","Ostródzki","Ostróda","Warmińsko-Mazurskie / Ostródzki / Ostróda (2815011, gmina miejska)",175,175,0,"N/A",0,0,0,"b) NIE","b) NIE",30760
"483","https://fedrowanie.siecobywatelska.pl/sprawy/wnioski-o-informacje-w-2025-1456","OSTRÓW","samorząd gminy","gmina wiejska","Podkarpackie","Ropczycko-Sędziszowski","Ostrów","Podkarpackie / Ropczycko-Sędziszowski / Ostrów (1815022, gmina wiejska)",73,73,0,"N/A",0,0,0,"b) NIE","b) NIE",7520
